city,microdistrict,floor,total_floors,area,rooms,price
Almaty,Koktem-1,4,5,105,4,52823047
Almaty,Aksay-1,10,16,179,6,96731923
Almaty,Samal-1,14,16,147,5,103968890
Almaty,Samal-1,7,21,67,2,41935338
Almaty,Medeu,2,21,78,3,36771342
Almaty,Orbita-1,4,9,194,6,103887542
Almaty,Aksay-1,6,12,90,3,43485513
Almaty,Medeu,7,21,57,2,22672807
Almaty,Medeu,2,5,82,3,35090251
Almaty,Aksay-4,1,5,65,2,32688707
Almaty,Koktem-1,4,5,73,3,40544141
Almaty,Esentai,4,9,86,3,57127666
Almaty,Aksay-4,7,16,90,3,47743716
Almaty,Koktem-1,4,5,105,4,58809127
Almaty,Samal-2,5,5,42,1,26368530
Almaty,Koktem-1,1,21,141,6,78539537
Almaty,Samal-1,1,5,75,3,43739738
Almaty,Koktem-1,9,9,69,2,35341786
Almaty,Samal-2,1,12,55,2,42542782
Almaty,Samal-1,4,5,142,5,98405695
Almaty,Aksay-4,3,5,212,6,119074104
Almaty,Orbita-1,7,9,134,4,80885888
Almaty,Aksay-4,12,21,62,2,37055103
Almaty,Orbita-1,2,16,40,1,2058845
Almaty,Samal-2,4,5,58,2,41528168
Almaty,Medeu,2,5,35,1,17466294
Almaty,Samal-1,3,5,135,4,103820444
Almaty,Samal-2,4,21,115,4,79272994
Almaty,Medeu,2,5,150,5,74186964
Almaty,Samal-1,9,16,159,6,109037227
Almaty,Esentai,8,16,49,2,31287660
Almaty,Koktem-1,18,21,85,3,36849872
Almaty,Esentai,5,9,81,3,58031487
Almaty,Samal-2,3,16,99,3,74288427
Almaty,Orbita-1,8,9,116,4,66010718
Almaty,Aksay-4,2,16,66,2,38277217
Almaty,Samal-1,15,21,83,3,5767616
Almaty,Aksay-1,4,12,165,6,86267676
Almaty,Koktem-1,4,16,50,2,25767737
Almaty,Aksay-1,16,16,83,3,39367569
Almaty,Medeu,9,16,72,3,34455324
Almaty,Medeu,5,12,100,4,49065983
Almaty,Koktem-1,6,21,88,3,46556560
Almaty,Koktem-1,2,5,52,2,22021252
Almaty,Aksay-1,12,16,44,1,22291000
Almaty,Esentai,5,16,94,3,62748241
Almaty,Medeu,6,12,92,3,39405605
Almaty,Orbita-1,2,5,69,2,36317730
Almaty,Samal-1,18,21,97,3,67886487
Almaty,Samal-1,2,21,109,4,77759747
Almaty,Orbita-1,19,21,141,6,80023637
Almaty,Medeu,8,12,65,2,33616760
Almaty,Medeu,3,12,127,4,61747256
Almaty,Orbita-1,2,5,48,2,26571419
Almaty,Aksay-4,3,5,100,4,46908174
Almaty,Medeu,6,12,115,4,58746950
Almaty,Medeu,4,5,90,3,45901776
Almaty,Esentai,6,16,109,4,75512541
Almaty,Koktem-1,14,21,140,5,81543653
Almaty,Aksay-1,7,12,119,4,48590292
Almaty,Aksay-1,15,21,61,2,30306100
Almaty,Koktem-1,4,9,69,2,34438205
Almaty,Samal-2,5,5,43,1,28600785
Almaty,Koktem-1,7,9,121,4,58852962
Almaty,Medeu,6,9,96,3,48315540
Almaty,Orbita-1,9,16,61,2,35939570
Almaty,Samal-1,2,5,43,1,28748358
Almaty,Esentai,14,16,74,3,47067586
Almaty,Samal-2,2,9,50,2,34063442
Almaty,Samal-1,7,12,142,6,87552131
Almaty,Esentai,13,21,91,3,59551390
Almaty,Samal-2,3,9,45,2,28813668
Almaty,Medeu,5,21,190,6,83382497
Almaty,Medeu,6,12,72,3,40200425
Almaty,Orbita-1,3,5,101,4,63412253
Almaty,Esentai,8,9,52,2,38843950
Almaty,Aksay-1,6,9,45,2,23742280
Almaty,Aksay-4,4,12,106,4,50531774
Almaty,Samal-1,5,16,194,5,150199253
Almaty,Esentai,4,12,52,2,34662828
Almaty,Orbita-1,2,5,262,6,134421682
Almaty,Samal-1,7,9,67,2,42324583
Almaty,Medeu,7,21,63,2,35160102
Almaty,Aksay-4,17,21,76,3,33542005
Almaty,Medeu,2,5,58,2,25180317
Almaty,Aksay-4,16,21,68,2,36867466
Almaty,Medeu,1,9,210,6,90420642
Almaty,Esentai,11,21,86,3,58490101
Almaty,Koktem-1,5,5,175,6,96804604
Almaty,Samal-2,5,9,78,3,54408644
Almaty,Aksay-1,15,21,40,1,21784135
Almaty,Samal-2,4,21,105,4,77214152
Almaty,Medeu,5,21,104,4,53427192
Almaty,Samal-1,2,21,63,2,47982488
Almaty,Samal-1,1,12,98,3,69583847
Almaty,Samal-1,12,16,52,2,36315165
Almaty,Aksay-1,17,21,45,2,21164421
Almaty,Esentai,5,21,169,5,121347474
Almaty,Koktem-1,16,16,101,4,46568132
Almaty,Aksay-1,1,5,114,4,45315334
Almaty,Esentai,5,5,154,5,98207783
Almaty,Esentai,8,9,100,4,68149887
Almaty,Samal-2,1,12,83,3,55394616
Almaty,Samal-2,2,12,86,3,54918100
Almaty,Aksay-1,7,16,75,3,37684968
Almaty,Samal-1,18,21,61,2,43802322
Almaty,Samal-2,11,12,49,2,37458547
Almaty,Koktem-1,7,12,194,5,123618835
Almaty,Samal-1,3,5,39,1,30765724
Almaty,Esentai,6,16,125,4,91684589
Almaty,Aksay-4,5,5,150,6,8164643
Almaty,Esentai,4,9,40,1,27177479
Almaty,Koktem-1,8,12,134,4,70642210
Almaty,Aksay-1,18,21,75,3,36926958
Almaty,Esentai,2,9,36,1,25623359
Almaty,Aksay-4,5,9,124,4,5163205
Almaty,Aksay-4,16,21,66,2,29709700
Almaty,Esentai,6,16,125,4,78483527
Almaty,Samal-1,4,9,47,2,33200628
Almaty,Esentai,20,21,69,2,41986132
Almaty,Orbita-1,11,12,123,4,63749588
Almaty,Samal-2,12,12,40,1,31538674
Almaty,Medeu,12,12,159,5,77931159
Almaty,Aksay-4,5,5,42,1,17742845
Almaty,Esentai,4,9,42,1,30328060
Almaty,Esentai,16,16,33,1,21219820
Almaty,Orbita-1,14,16,91,3,43404720
Almaty,Orbita-1,20,21,148,5,89659393
Almaty,Medeu,7,12,59,2,29600323
Almaty,Esentai,9,9,32,1,19799805
Almaty,Orbita-1,18,21,96,3,52175313
Almaty,Orbita-1,15,16,79,3,4294224
Almaty,Medeu,10,16,65,2,39439016
Almaty,Aksay-1,2,9,71,3,39205651
Almaty,Aksay-4,8,16,61,2,30418854
Almaty,Medeu,8,21,66,2,34261030
Almaty,Aksay-4,17,21,152,6,84451555
Almaty,Orbita-1,4,5,127,4,64781391
Almaty,Aksay-1,13,16,90,3,52266524
Almaty,Aksay-1,7,9,104,4,47986785
Almaty,Orbita-1,9,9,95,3,43801078
Almaty,Aksay-4,18,21,102,4,51867052
Almaty,Orbita-1,11,16,91,3,51401529
Almaty,Orbita-1,14,16,74,3,35337147
Almaty,Aksay-4,4,9,75,3,38935273
Almaty,Esentai,9,9,181,6,131940640
Almaty,Samal-1,4,21,82,3,50205366
Almaty,Samal-2,12,21,41,1,29692462
Almaty,Samal-1,16,21,48,2,32917175
Almaty,Medeu,2,21,95,3,36876975
Almaty,Koktem-1,7,9,69,2,31044114
Almaty,Aksay-4,3,9,97,3,44859197
Almaty,Koktem-1,12,21,97,3,50608052
Almaty,Aksay-1,4,12,89,3,42720445
Almaty,Samal-2,3,9,71,3,50627205
Almaty,Aksay-4,10,16,72,3,39578410
Almaty,Samal-1,2,21,47,2,31236409
Almaty,Aksay-4,1,9,115,4,63322241
Almaty,Aksay-1,6,9,91,3,48792428
Almaty,Koktem-1,7,16,66,2,35709713
Almaty,Aksay-1,20,21,66,2,34360140
Almaty,Medeu,6,12,131,4,60627721
Almaty,Samal-1,12,12,79,3,53225623
Almaty,Samal-1,5,12,83,3,55833639
Almaty,Orbita-1,12,12,45,2,23660473
Almaty,Koktem-1,8,12,60,2,31590126
Almaty,Aksay-4,5,9,131,4,67483963
Almaty,Aksay-4,3,9,142,5,67356305
Almaty,Medeu,1,5,106,4,63262268
Almaty,Samal-1,6,12,60,2,42678876
Almaty,Esentai,4,16,45,2,29930530
Almaty,Aksay-1,5,21,66,2,38476084
Almaty,Samal-2,5,9,102,4,70867771
Almaty,Koktem-1,1,9,51,2,29815198
Almaty,Esentai,3,12,79,3,55752819
Almaty,Koktem-1,4,12,98,3,52210590
Almaty,Esentai,4,5,158,5,129357202
Almaty,Koktem-1,9,12,65,2,38794448
Almaty,Samal-1,9,16,117,4,80193212
Almaty,Aksay-4,5,16,126,4,76531044
Almaty,Medeu,4,9,135,4,78164101
Almaty,Koktem-1,14,21,91,3,54317515
Almaty,Orbita-1,3,16,75,3,39352863
Almaty,Aksay-4,11,16,57,2,28139007
Almaty,Koktem-1,5,5,157,5,81941534
Almaty,Medeu,1,9,94,3,37675215
Almaty,Aksay-1,5,5,163,6,74327902
Almaty,Samal-1,7,21,67,2,51736167
Almaty,Aksay-4,7,9,70,3,23743799
Almaty,Koktem-1,3,12,88,3,55594209
Almaty,Medeu,5,16,120,4,66250764
Almaty,Aksay-1,11,16,49,2,28526676
Almaty,Samal-2,9,16,133,4,95063326
Almaty,Aksay-1,9,12,227,5,122889129
Almaty,Samal-2,1,16,92,3,63656272
Almaty,Esentai,16,16,100,4,60530032
Almaty,Esentai,9,21,49,2,33309652
Almaty,Samal-2,10,16,122,4,90342586
Almaty,Orbita-1,8,16,93,3,53076037
Almaty,Aksay-4,14,21,93,3,37603246
Almaty,Aksay-1,2,9,77,3,3986683
Almaty,Medeu,9,9,87,3,42128591
Almaty,Aksay-1,7,16,53,2,23372960
Almaty,Samal-1,21,21,114,4,77903854
Almaty,Aksay-1,2,9,70,3,35075995
Almaty,Esentai,18,21,57,2,40576374
Almaty,Aksay-1,18,21,89,3,41767154
Almaty,Aksay-1,2,9,59,2,29034366
Almaty,Medeu,13,16,102,4,49944378
Almaty,Aksay-4,5,9,91,3,44654043
Almaty,Orbita-1,3,9,62,2,36762072
Almaty,Aksay-4,4,5,44,1,21320909
Almaty,Aksay-1,1,16,116,4,52371772
Almaty,Samal-2,9,16,55,2,37259006
Almaty,Samal-1,7,9,112,4,80159897
Almaty,Koktem-1,21,21,68,2,40718538
Almaty,Samal-1,8,9,58,2,39033621
Almaty,Esentai,4,5,89,3,55842042
Almaty,Aksay-1,6,21,54,2,26009039
Almaty,Aksay-1,9,21,95,3,46289598
Almaty,Esentai,2,9,60,2,42406690
Almaty,Aksay-4,12,12,102,4,55540954
Almaty,Samal-2,11,16,91,3,67982963
Almaty,Medeu,14,21,118,4,5974620
Almaty,Esentai,8,9,162,5,96710136
Almaty,Samal-2,3,12,102,4,73745638
Almaty,Koktem-1,2,12,76,3,43157027
Almaty,Orbita-1,5,5,52,2,26278643
Almaty,Aksay-4,6,12,45,2,21304324
Almaty,Samal-1,8,21,127,4,91521158
Almaty,Koktem-1,6,12,151,6,79775940
Almaty,Samal-2,3,12,183,6,127426458
Almaty,Orbita-1,2,21,113,4,58137728
Almaty,Koktem-1,10,12,58,2,24641997
Almaty,Orbita-1,1,9,90,3,51989630
Almaty,Aksay-1,8,16,115,4,65420898
Almaty,Orbita-1,8,12,113,4,70182581
Almaty,Aksay-1,5,9,183,5,76141714
Almaty,Esentai,9,9,32,1,22260562
Almaty,Koktem-1,9,16,74,3,42760436
Almaty,Koktem-1,21,21,76,3,51976817
Almaty,Koktem-1,4,16,132,4,76145377
Almaty,Koktem-1,2,5,43,1,28872209
Almaty,Aksay-1,3,9,91,3,51833610
Almaty,Samal-2,7,9,74,3,53372374
Almaty,Aksay-1,17,21,124,4,64516271
Almaty,Aksay-4,9,9,75,3,44507262
Almaty,Orbita-1,4,16,52,2,26336558
Almaty,Aksay-4,3,9,58,2,29081421
Almaty,Koktem-1,7,9,207,5,107776178
Almaty,Samal-2,10,12,110,4,83725535
Almaty,Aksay-1,4,9,41,1,22799816
Almaty,Orbita-1,16,21,107,4,53234343
Almaty,Samal-1,3,12,84,3,56610729
Almaty,Samal-2,14,21,89,3,57489298
Almaty,Samal-2,14,21,63,2,44331010
Almaty,Samal-2,16,16,93,3,65463247
Almaty,Medeu,9,12,113,4,49981638
Almaty,Aksay-1,7,12,54,2,25292335
Almaty,Samal-1,4,9,77,3,55006796
Almaty,Koktem-1,5,9,51,2,29237721
Almaty,Koktem-1,13,16,54,2,30696440
Almaty,Aksay-4,8,9,56,2,27756466
Almaty,Aksay-1,2,12,69,2,33345025
Almaty,Aksay-4,7,9,97,3,40238595
Almaty,Aksay-1,11,12,78,3,46776065
Almaty,Samal-1,1,5,137,4,93468604
Almaty,Samal-2,7,12,76,3,55195643
Almaty,Koktem-1,15,21,102,4,54965361
Almaty,Samal-1,1,5,54,2,3879016
Almaty,Samal-2,2,21,82,3,54749051
Almaty,Samal-2,15,21,91,3,62571982
Almaty,Samal-1,8,12,96,3,61646681
Almaty,Samal-1,2,5,172,5,120850150
Almaty,Orbita-1,9,16,76,3,40998828
Almaty,Koktem-1,16,16,53,2,28477758
Almaty,Samal-1,3,5,74,3,53086392
Almaty,Medeu,4,21,145,5,67420207
Almaty,Samal-2,4,16,109,4,79565039
Almaty,Esentai,3,5,130,4,99719593
Almaty,Aksay-4,21,21,48,2,17823541
Almaty,Samal-1,5,16,94,3,58984923
Almaty,Aksay-1,4,16,80,3,40064101
Almaty,Aksay-1,8,9,70,3,38657696
Almaty,Aksay-1,6,12,51,2,26646158
Almaty,Aksay-1,9,9,56,2,28227575
Almaty,Koktem-1,7,16,73,3,40686313
Almaty,Aksay-4,9,16,57,2,32535244
Almaty,Samal-2,3,12,62,2,39465197
Almaty,Esentai,3,21,111,4,84496680
Almaty,Orbita-1,4,5,157,6,81324849
Almaty,Samal-2,2,5,60,2,41800653
Almaty,Aksay-1,2,5,48,2,21928344
Almaty,Samal-2,3,12,37,1,28953559
Almaty,Medeu,6,9,66,2,31514957
Almaty,Medeu,6,12,65,2,36129821
Almaty,Aksay-1,3,16,56,2,29743355
Almaty,Orbita-1,11,12,99,3,54927027
Almaty,Medeu,14,16,49,2,23797326
Almaty,Esentai,3,9,45,2,31397150
Almaty,Koktem-1,2,5,100,4,50132923
Almaty,Aksay-4,20,21,83,3,42839282
Almaty,Esentai,12,12,51,2,31080318
Almaty,Aksay-4,9,9,69,2,32297731
Almaty,Esentai,5,16,48,2,36529716
Almaty,Medeu,1,9,116,4,60245460
Almaty,Medeu,11,21,52,2,25466446
Almaty,Esentai,11,21,51,2,36943278
Almaty,Samal-2,7,9,149,6,106470773
Almaty,Samal-2,16,16,101,4,66464778
Almaty,Samal-1,16,16,69,2,44768980
Almaty,Samal-2,7,16,83,3,62339288
Almaty,Medeu,21,21,105,4,56224407
Almaty,Esentai,6,12,101,4,75719335
Almaty,Esentai,12,21,96,3,66090914
Almaty,Samal-2,4,9,70,3,49280695
Almaty,Samal-2,5,5,104,4,69022011
Almaty,Orbita-1,6,21,83,3,41990220
Almaty,Esentai,2,5,159,5,112998361
Almaty,Koktem-1,3,16,91,3,58573504
Almaty,Samal-1,7,9,94,3,69474567
Almaty,Esentai,3,16,59,2,36483821
Almaty,Orbita-1,5,9,65,2,34291047
Almaty,Samal-1,2,16,94,3,54354032
Almaty,Samal-2,9,16,80,3,60652003
Almaty,Aksay-4,8,9,82,3,39397215
Almaty,Aksay-4,8,16,109,4,54968822
Almaty,Samal-2,2,16,97,3,59151265
Almaty,Samal-1,10,16,130,4,84257899
Almaty,Orbita-1,14,16,39,1,19772249
Almaty,Orbita-1,3,16,205,5,99169610
Almaty,Esentai,11,12,89,3,56529089
Almaty,Aksay-4,1,9,226,6,113689622
Almaty,Aksay-4,8,21,55,2,30269616
Almaty,Samal-1,1,5,53,2,36742780
Almaty,Samal-2,5,5,132,4,100901299
Almaty,Esentai,8,21,80,3,58830345
Almaty,Aksay-1,9,21,83,3,40335916
Almaty,Samal-2,20,21,88,3,63861194
Almaty,Medeu,3,5,81,3,40193554
Almaty,Koktem-1,4,9,94,3,47637177
Almaty,Koktem-1,1,9,128,4,59117651
Almaty,Aksay-1,1,5,82,3,39967707
Almaty,Aksay-1,4,9,76,3,35449031
Almaty,Samal-2,3,5,109,4,74612971
Almaty,Orbita-1,14,16,88,3,47206295
Almaty,Esentai,9,9,78,3,61275663
Almaty,Orbita-1,3,5,41,1,23516661
Almaty,Aksay-4,1,21,259,5,127426280
Almaty,Aksay-4,1,5,99,3,50324140
Almaty,Aksay-4,14,16,67,2,36592594
Almaty,Koktem-1,2,5,64,2,36361970
Almaty,Orbita-1,7,9,70,3,36395448
Almaty,Samal-2,14,16,85,3,63297766
Almaty,Aksay-1,2,12,128,4,69302419
Almaty,Aksay-4,7,9,87,3,37068149
Almaty,Samal-1,12,12,58,2,38734768
Almaty,Samal-2,5,5,49,2,37615719
Almaty,Koktem-1,5,5,85,3,48937003
Almaty,Koktem-1,8,9,88,3,39161884
Almaty,Samal-2,2,5,200,5,153066170
Almaty,Aksay-4,10,21,96,3,44489978
Almaty,Orbita-1,3,9,80,3,43770437
Almaty,Aksay-1,7,21,166,6,78121774
Almaty,Aksay-4,1,9,91,3,45963446
Almaty,Orbita-1,3,12,264,6,160956044
Almaty,Samal-2,15,16,135,4,93641679
Almaty,Koktem-1,5,5,132,4,76361672
Almaty,Samal-1,5,9,55,2,3841491
Almaty,Medeu,8,9,68,2,34238177
Almaty,Aksay-1,9,9,59,2,28653439
Almaty,Koktem-1,4,12,53,2,30622938
Almaty,Samal-2,8,16,80,3,56963507
Almaty,Aksay-4,10,12,79,3,47470335
Almaty,Esentai,2,5,97,3,77198706
Almaty,Samal-2,11,16,67,2,48130412
Almaty,Samal-2,5,9,38,1,26690237
Almaty,Aksay-1,4,21,101,4,57116469
Almaty,Medeu,1,9,77,3,35104698
Almaty,Esentai,8,9,110,4,79275895
Almaty,Orbita-1,1,5,85,3,49122929
Almaty,Koktem-1,4,16,103,4,51879137
Almaty,Aksay-1,8,12,92,3,46851807
Almaty,Samal-2,11,16,127,4,92245801
Almaty,Samal-1,10,12,45,2,28896798
Almaty,Koktem-1,2,5,68,2,32440221
Almaty,Koktem-1,3,9,111,4,39280678
Almaty,Samal-2,6,9,163,5,96485373
Almaty,Aksay-4,3,5,51,2,26172044
Almaty,Samal-1,3,16,50,2,34987238
Almaty,Esentai,3,16,122,4,93522976
Almaty,Koktem-1,4,9,85,3,53276431
Almaty,Orbita-1,16,16,54,2,30615234
Almaty,Samal-2,9,16,129,4,98327012
Almaty,Medeu,4,12,74,3,35283392
Almaty,Medeu,9,9,187,6,93606308
Almaty,Aksay-1,6,21,69,2,30130441
Almaty,Esentai,2,21,74,3,50320450
Almaty,Esentai,4,21,215,6,151914624
Almaty,Aksay-1,6,9,127,4,56633025
Almaty,Aksay-1,14,21,94,3,51710665
Almaty,Medeu,4,9,83,3,38548022
Almaty,Aksay-4,2,5,191,6,96029579
Almaty,Esentai,11,21,81,3,50759030
Almaty,Aksay-1,1,9,101,4,47581500
Almaty,Samal-2,6,16,114,4,84414388
Almaty,Medeu,5,12,87,3,48357563
Almaty,Medeu,1,5,60,2,33634644
Almaty,Orbita-1,9,16,72,3,33686807
Almaty,Samal-1,7,16,103,4,73621434
Almaty,Aksay-1,12,16,71,3,38858090
Almaty,Aksay-4,14,16,97,3,50925547
Almaty,Koktem-1,20,21,40,1,23839406
Almaty,Aksay-4,2,9,54,2,25150534
Almaty,Samal-1,1,9,56,2,43589499
Almaty,Samal-2,5,16,81,3,60491027
Almaty,Aksay-1,11,16,194,5,101027213
Almaty,Medeu,9,9,137,4,59280784
Almaty,Esentai,2,5,62,2,43371606
Almaty,Esentai,5,5,45,2,30248954
Almaty,Medeu,8,12,81,3,39864001
Almaty,Orbita-1,6,12,101,4,55749207
Almaty,Esentai,8,9,51,2,39429054
Almaty,Orbita-1,5,5,104,4,59193862
Almaty,Aksay-4,12,16,81,3,41679901
Almaty,Samal-1,11,12,40,1,26804664
Almaty,Koktem-1,3,16,86,3,44522354
Almaty,Koktem-1,3,12,67,2,38489404
Almaty,Samal-2,7,21,88,3,55323558
Almaty,Aksay-1,4,9,47,2,21218185
Almaty,Aksay-4,4,12,81,3,44104449
Almaty,Orbita-1,1,12,78,3,43726326
Almaty,Medeu,2,5,138,4,68300682
Almaty,Samal-2,18,21,70,3,52468486
Almaty,Aksay-1,7,12,134,4,72458385
Almaty,Medeu,2,5,145,6,76659582
Almaty,Aksay-4,18,21,101,4,52611939
Almaty,Samal-2,5,9,70,3,52635121
Almaty,Orbita-1,1,21,118,4,58278695
Almaty,Aksay-4,2,5,66,2,28870524
Almaty,Medeu,5,9,130,4,67603269
Almaty,Medeu,12,12,177,5,87114941
Almaty,Medeu,5,12,128,4,48571758
Almaty,Samal-1,8,16,69,2,55617427
Almaty,Samal-1,1,12,87,3,63838694
Almaty,Esentai,2,9,44,1,28205188
Almaty,Orbita-1,5,5,208,6,103951069
Almaty,Esentai,9,9,121,4,86494196
Almaty,Aksay-4,8,9,99,3,50744794
Almaty,Esentai,9,12,81,3,59818373
Almaty,Esentai,8,21,40,1,29074865
Almaty,Esentai,12,12,92,3,59897454
Almaty,Aksay-4,7,12,93,3,40356812
Almaty,Samal-2,9,12,46,2,32715188
Almaty,Orbita-1,2,16,159,6,95014820
Almaty,Koktem-1,4,9,79,3,43138926
Almaty,Samal-1,12,16,82,3,57704161
Almaty,Aksay-1,12,12,89,3,46435469
Almaty,Aksay-4,7,9,68,2,28983601
Almaty,Orbita-1,4,9,159,6,82971077
Almaty,Aksay-1,3,12,75,3,35700119
Almaty,Medeu,13,21,41,1,19174614
Almaty,Orbita-1,6,21,104,4,60597072
Almaty,Medeu,5,5,77,3,38817673
Almaty,Aksay-4,1,9,117,4,52996190
Almaty,Esentai,16,16,53,2,39345651
Almaty,Samal-2,11,16,138,4,98646380
Almaty,Orbita-1,12,16,68,2,36218409
Almaty,Orbita-1,5,16,45,2,23088543
Almaty,Esentai,2,5,61,2,39625275
Almaty,Aksay-1,1,12,47,2,23663905
Almaty,Orbita-1,4,21,124,4,67762069
Almaty,Orbita-1,6,21,65,2,28931809
Almaty,Aksay-1,4,21,67,2,40749424
Almaty,Samal-1,6,9,64,2,37722041
Almaty,Samal-2,5,16,251,5,177072904
Almaty,Koktem-1,4,16,161,5,77550096
Almaty,Orbita-1,4,5,36,1,18457304
Almaty,Esentai,5,5,86,3,66519626
Almaty,Medeu,6,21,85,3,39448904
Almaty,Samal-2,3,5,60,2,41659223
Almaty,Samal-2,6,12,139,4,100990280
Almaty,Medeu,2,12,71,3,32915326
Almaty,Esentai,4,9,119,4,82364577
Almaty,Samal-2,1,5,56,2,36812265
Almaty,Aksay-1,2,16,81,3,37144966
Almaty,Aksay-4,5,21,116,4,52126423
Almaty,Koktem-1,3,5,70,3,43649877
Almaty,Samal-1,5,5,62,2,43630979
Almaty,Aksay-1,6,9,55,2,22673469
Almaty,Samal-2,6,16,115,4,71723941
Almaty,Medeu,4,16,88,3,42148035
Almaty,Aksay-1,3,21,118,4,57548231
Almaty,Orbita-1,3,9,78,3,39112359
Almaty,Samal-1,21,21,46,2,35192336
Almaty,Medeu,4,5,58,2,29282717
Almaty,Samal-2,4,5,62,2,44357027
Almaty,Orbita-1,4,5,51,2,24904656
Almaty,Aksay-1,1,12,68,2,34952154
Almaty,Orbita-1,15,21,47,2,27980378
Almaty,Aksay-1,6,16,123,4,63721378
Almaty,Aksay-1,8,16,125,4,63554071
Almaty,Samal-2,13,21,40,1,29796234
Almaty,Samal-2,3,5,82,3,60756940
Almaty,Koktem-1,4,9,40,1,23259275
Almaty,Aksay-1,2,5,143,5,69422220
Almaty,Samal-1,1,12,96,3,67189997
Almaty,Medeu,2,5,122,4,56141714
Almaty,Esentai,5,21,58,2,4565789
Almaty,Samal-2,7,9,63,2,44624324
Almaty,Orbita-1,5,12,55,2,29750866
Almaty,Esentai,4,5,116,4,70236490
Almaty,Samal-1,11,16,85,3,60246189
Almaty,Esentai,14,21,75,3,57973994
Almaty,Esentai,5,9,89,3,65705480
Almaty,Samal-2,13,21,59,2,38066150
Almaty,Samal-2,3,12,143,5,101054119
Almaty,Aksay-1,4,5,45,2,21367209
Almaty,Esentai,7,9,131,4,88082688
Almaty,Samal-2,2,9,52,2,37229145
Almaty,Samal-1,8,9,65,2,46099791
Almaty,Medeu,7,16,35,1,17620899
Almaty,Esentai,9,9,45,2,32778437
Almaty,Samal-1,5,9,109,4,70448463
Almaty,Esentai,9,9,102,4,78824693
Almaty,Samal-2,1,12,153,5,110414623
Almaty,Esentai,14,16,76,3,57680003
Almaty,Samal-1,2,9,70,3,5255408
Almaty,Koktem-1,3,5,110,4,58434700
Almaty,Koktem-1,4,21,134,4,71504161
Almaty,Esentai,16,16,118,4,86490111
Almaty,Koktem-1,9,9,175,6,92143218
Almaty,Esentai,3,12,141,6,88537465
Almaty,Aksay-4,11,12,88,3,38228358
Almaty,Esentai,15,16,42,1,27969101
Almaty,Aksay-4,2,5,102,4,46927790
Almaty,Aksay-4,4,5,48,2,22834371
Almaty,Esentai,6,9,140,5,105262227
Almaty,Medeu,7,12,75,3,39688917
Almaty,Samal-1,4,5,59,2,40860434
Almaty,Aksay-4,1,5,165,5,88831336
Almaty,Esentai,7,12,71,3,48464637
Almaty,Orbita-1,12,12,91,3,57522338
